Row ID,Category,Element Type,Content/Text,Module,Current Heading,Book Page,PDF Page,Source Line ID,Source Span ID,Confidence,Font/Size,Author String,Year,Label,Notes
M000104,Heading,Subheading Candidate,64,MODULE 1,References,,6,P006-L099,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000105,Heading,Subheading Candidate,Optional reading,MODULE 1,64,,6,P006-L100,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000106,Heading,Subheading Candidate,66,MODULE 1,Optional reading,,6,P006-L101,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000107,Heading,Subheading Candidate,4.3,MODULE 1,66,vi,7,P007-L104,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000108,Heading,Subheading Candidate,New product development (NPD),MODULE 1,4.3,vi,7,P007-L105,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000109,Heading,Subheading Candidate,226,MODULE 1,New product development (NPD),vi,7,P007-L106,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000110,Heading,Subheading Candidate,3.2,MODULE 1,226,vi,7,P007-L004,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000111,Heading,Subheading Candidate,Assessing current performance,MODULE 1,3.2,vi,7,P007-L005,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000112,Heading,Subheading Candidate,156,MODULE 1,Assessing current performance,vi,7,P007-L006,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000113,Heading,Subheading Candidate,4.4,MODULE 1,156,vi,7,P007-L115,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000114,Heading,Subheading Candidate,New service development,MODULE 1,4.4,vi,7,P007-L116,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000115,Heading,Subheading Candidate,236,MODULE 1,New service development,vi,7,P007-L117,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000116,Heading,Subheading Candidate,3.3,MODULE 1,236,vi,7,P007-L012,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000117,Heading,Subheading Candidate,Strategic drivers,MODULE 1,3.3,vi,7,P007-L013,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000118,Heading,Subheading Candidate,163,MODULE 1,Strategic drivers,vi,7,P007-L014,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000119,Heading,Subheading Candidate,4.5,MODULE 1,163,vi,7,P007-L123,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000120,Heading,Subheading Candidate,Approaches to developing new,MODULE 1,4.5,vi,7,P007-L124,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000121,Heading,Subheading Candidate,products and services,MODULE 1,Approaches to developing new,vi,7,P007-L125,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000122,Heading,Subheading Candidate,241,MODULE 1,products and services,vi,7,P007-L126,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000123,Heading,Subheading Candidate,3.4,MODULE 1,241,vi,7,P007-L026,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000124,Heading,Subheading Candidate,Operational drivers,MODULE 1,3.4,vi,7,P007-L027,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000125,Heading,Subheading Candidate,176,MODULE 1,Operational drivers,vi,7,P007-L028,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000126,Heading,Subheading Candidate,3.5,MODULE 1,176,vi,7,P007-L036,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000127,Heading,Subheading Candidate,People and organisational drivers,MODULE 1,3.5,vi,7,P007-L037,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000128,Heading,Subheading Candidate,185,MODULE 1,People and organisational drivers,vi,7,P007-L038,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000129,Heading,Subheading Candidate,4.6,MODULE 1,185,vi,7,P007-L139,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000130,Heading,Subheading Candidate,New market development,MODULE 1,4.6,vi,7,P007-L140,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000131,Heading,Subheading Candidate,255,MODULE 1,New market development,vi,7,P007-L141,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000132,Heading,Subheading Candidate,3.6,MODULE 1,255,vi,7,P007-L045,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000133,Heading,Subheading Candidate,The role of resources and capabilities,MODULE 1,3.6,vi,7,P007-L046,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000134,Heading,Subheading Candidate,in strategy,MODULE 1,The role of resources and capabilities,vi,7,P007-L047,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000135,Heading,Subheading Candidate,187,MODULE 1,in strategy,vi,7,P007-L048,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000136,Heading,Subheading Candidate,3.7,MODULE 1,187,vi,7,P007-L051,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000137,Heading,Subheading Candidate,Combining external and internal,MODULE 1,3.7,vi,7,P007-L052,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000138,Heading,Subheading Candidate,analysis,MODULE 1,Combining external and internal,vi,7,P007-L053,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000139,Heading,Subheading Candidate,197,MODULE 1,analysis,vi,7,P007-L054,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000140,Heading,Subheading Candidate,3.8,MODULE 1,197,vi,7,P007-L059,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000141,Heading,Subheading Candidate,Further leadership and management,MODULE 1,3.8,vi,7,P007-L060,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000142,Heading,Subheading Candidate,implications for internal analysis,MODULE 1,Further leadership and management,vi,7,P007-L061,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000143,Heading,Subheading Candidate,202,MODULE 1,implications for internal analysis,vi,7,P007-L062,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000144,Heading,Subheading Candidate,Review,MODULE 1,202,vi,7,P007-L063,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000145,Heading,Subheading Candidate,205,MODULE 1,Review,vi,7,P007-L064,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000146,Heading,Subheading Candidate,References,MODULE 1,205,vi,7,P007-L065,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000147,Heading,Subheading Candidate,205,MODULE 1,References,vi,7,P007-L066,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000148,Heading,Subheading Candidate,Optional reading,MODULE 1,205,vi,7,P007-L067,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000149,Heading,Subheading Candidate,206,MODULE 1,Optional reading,vi,7,P007-L068,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000150,Heading,Subheading Candidate,4.7,MODULE 1,206,vi,7,P007-L167,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000151,Heading,Subheading Candidate,Intellectual property,MODULE 1,4.7,vi,7,P007-L168,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000152,Heading,Subheading Candidate,281,MODULE 1,Intellectual property,vi,7,P007-L169,,0.68,HelveticaNeueLTStd-Md (1) / 8.5,,,,
M000153,Heading,Subheading Candidate,MODULE 4,MODULE 1,281,vi,7,P007-L069,,0.68,HelveticaNeueLTStd-Hv (1) / 8.0,,,,
M000154,Heading,Main Heading,"Product, Service and Market",MODULE 1,MODULE 4,vi,7,P007-L070,,0.9,HelveticaNeueLTStd-Roman (1) / 14.0,,,,
